 Rows: Electric field / N (Td)                                         
  0.1000       34.58       69.06       103.5       138.0       172.5       207.0       241.5       275.9       310.4    
   344.9       379.4       413.9       448.3       482.8       517.3       551.8       586.2       620.7       655.2    
   689.7       724.2       758.6       793.1       827.6       862.1       896.6       931.0       965.5       1000.    

 Columns: Mole fraction He
   0.000      0.1111      0.2222      0.3333      0.4444      0.5556      0.6667      0.7778      0.8889       1.000    

 Columns: Mole fraction N2
  0.8000      0.7111      0.6222      0.5333      0.4444      0.3556      0.2667      0.1778      0.8889E-01   0.000    

 Columns: Mole fraction O2
  0.2000      0.1778      0.1556      0.1333      0.1111      0.8889E-01  0.6667E-01  0.4444E-01  0.2222E-01   0.000    

 Mean energy (eV)                                                
  0.7476E+24  0.7889E+24  0.8392E+24  0.9020E+24  0.9838E+24  0.1096E+25  0.1263E+25  0.1538E+25  0.2086E+25  0.3647E+25
  0.7330E+24  0.7744E+24  0.8246E+24  0.8876E+24  0.9699E+24  0.1083E+25  0.1251E+25  0.1529E+25  0.2079E+25  0.3633E+25
  0.7195E+24  0.7609E+24  0.8111E+24  0.8742E+24  0.9568E+24  0.1071E+25  0.1240E+25  0.1519E+25  0.2069E+25  0.3616E+25
  0.7071E+24  0.7483E+24  0.7985E+24  0.8618E+24  0.9446E+24  0.1059E+25  0.1229E+25  0.1509E+25  0.2060E+25  0.3593E+25
  0.6955E+24  0.7367E+24  0.7868E+24  0.8502E+24  0.9331E+24  0.1048E+25  0.1218E+25  0.1500E+25  0.2048E+25  0.3572E+25
  0.6846E+24  0.7256E+24  0.7759E+24  0.8392E+24  0.9222E+24  0.1037E+25  0.1208E+25  0.1489E+25  0.2037E+25  0.3549E+25
  0.6745E+24  0.7154E+24  0.7655E+24  0.8288E+24  0.9122E+24  0.1027E+25  0.1198E+25  0.1480E+25  0.2024E+25  0.3527E+25
  0.6649E+24  0.7058E+24  0.7558E+24  0.8191E+24  0.9025E+24  0.1018E+25  0.1189E+25  0.1469E+25  0.2012E+25  0.3505E+25
  0.6559E+24  0.6967E+24  0.7467E+24  0.8098E+24  0.8932E+24  0.1009E+25  0.1180E+25  0.1460E+25  0.2000E+25  0.3483E+25
  0.6474E+24  0.6879E+24  0.7378E+24  0.8012E+24  0.8845E+24  0.1000E+25  0.1171E+25  0.1450E+25  0.1987E+25  0.3466E+25
  0.6394E+24  0.6799E+24  0.7298E+24  0.7929E+24  0.8761E+24  0.9914E+24  0.1162E+25  0.1441E+25  0.1974E+25  0.3445E+25
  0.6316E+24  0.6721E+24  0.7218E+24  0.7849E+24  0.8682E+24  0.9834E+24  0.1153E+25  0.1431E+25  0.1963E+25  0.3427E+25
  0.6244E+24  0.6646E+24  0.7144E+24  0.7774E+24  0.8605E+24  0.9756E+24  0.1145E+25  0.1422E+25  0.1950E+25  0.3410E+25
  0.6175E+24  0.6577E+24  0.7072E+24  0.7703E+24  0.8533E+24  0.9678E+24  0.1138E+25  0.1413E+25  0.1938E+25  0.3395E+25
  0.6108E+24  0.6509E+24  0.7005E+24  0.7633E+24  0.8462E+24  0.9608E+24  0.1130E+25  0.1404E+25  0.1927E+25  0.3381E+25
  0.6045E+24  0.6446E+24  0.6940E+24  0.7568E+24  0.8395E+24  0.9537E+24  0.1122E+25  0.1395E+25  0.1915E+25  0.3368E+25
  0.5986E+24  0.6384E+24  0.6877E+24  0.7504E+24  0.8330E+24  0.9470E+24  0.1115E+25  0.1387E+25  0.1905E+25  0.3356E+25

 Re/perp mobility *N (1/m/V/s)                                   
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
