BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
He                                                              
crossSections.txt
--------------------------------------------------
N2                                                              
crossSections.txt
--------------------------------------------------
O2                                                              
crossSections.txt



 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3.rad/s)           0.00000    
A3     Cosine of E-B field angle                  0.00000    
A4     Gas temperature (K)                        300.000    
A5     Excitation temperature (K)                 300.000    
A6     Transition energy (eV)                     0.00000    
A7     Ionization degree                          0.00000    
A8     Gas particle density (1/m3)               0.244631E+26
A9     Ion charge parameter                      -1.00000    
A10    Ion/neutral mass ratio                     1.00000    
A11    Coulomb collision model                    0.00000    
A12    Energy sharing                             1.00000    
A13    Growth model                               1.00000    
A14    Maxwellian mean energy (eV)                0.00000    
A15    # of grid points                           100.000    
A16    Grid type                                  0.00000    
A17    Maximum energy                             200.000    
A18    Precision                                 0.100000E-09
A19    Convergence                               0.100000E-04
A20    Maximum # of iterations                    100.000    
A21    Mole fraction He                        
A22    Mole fraction N2                        
A23    Mole fraction O2                        
            R#      A1           A21           A22           A23      
         114   237.952      0.333333      0.533333      0.133333    
         115   248.293      0.333333      0.533333      0.133333    
         116   258.634      0.333333      0.533333      0.133333    
         117   268.976      0.333333      0.533333      0.133333    
         118   279.317      0.333333      0.533333      0.133333    
         119   289.659      0.333333      0.533333      0.133333    
         120   300.000      0.333333      0.533333      0.133333    
         121  0.100000      0.444444      0.444444      0.111111    
         122   10.4414      0.444444      0.444444      0.111111    
         123   20.7828      0.444444      0.444444      0.111111    
         124   31.1241      0.444444      0.444444      0.111111    
         125   41.4655      0.444444      0.444444      0.111111    
         126   51.8069      0.444444      0.444444      0.111111    
         127   62.1483      0.444444      0.444444      0.111111    
         128   72.4897      0.444444      0.444444      0.111111    
         129   82.8310      0.444444      0.444444      0.111111    
         130   93.1724      0.444444      0.444444      0.111111    
         131   103.514      0.444444      0.444444      0.111111    
         132   113.855      0.444444      0.444444      0.111111    
         133   124.197      0.444444      0.444444      0.111111    
         134   134.538      0.444444      0.444444      0.111111    
         135   144.879      0.444444      0.444444      0.111111    
         136   155.221      0.444444      0.444444      0.111111    
         137   165.562      0.444444      0.444444      0.111111    
         138   175.903      0.444444      0.444444      0.111111    
         139   186.245      0.444444      0.444444      0.111111    
         140   196.586      0.444444      0.444444      0.111111    
         141   206.928      0.444444      0.444444      0.111111    
         142   217.269      0.444444      0.444444      0.111111    
         143   227.610      0.444444      0.444444      0.111111    
         144   237.952      0.444444      0.444444      0.111111    
         145   248.293      0.444444      0.444444      0.111111    
         146   258.634      0.444444      0.444444      0.111111    
         147   268.976      0.444444      0.444444      0.111111    
         148   279.317      0.444444      0.444444      0.111111    
         149   289.659      0.444444      0.444444      0.111111    
         150   300.000      0.444444      0.444444      0.111111    
         151  0.100000      0.555556      0.355556      0.888889E-01
         152   10.4414      0.555556      0.355556      0.888889E-01
         153   20.7828      0.555556      0.355556      0.888889E-01
         154   31.1241      0.555556      0.355556      0.888889E-01
         155   41.4655      0.555556      0.355556      0.888889E-01
         156   51.8069      0.555556      0.355556      0.888889E-01
         157   62.1483      0.555556      0.355556      0.888889E-01
         158   72.4897      0.555556      0.355556      0.888889E-01
         159   82.8310      0.555556      0.355556      0.888889E-01
         160   93.1724      0.555556      0.355556      0.888889E-01
         161   103.514      0.555556      0.355556      0.888889E-01
         162   113.855      0.555556      0.355556      0.888889E-01
         163   124.197      0.555556      0.355556      0.888889E-01
         164   134.538      0.555556      0.355556      0.888889E-01
         165   144.879      0.555556      0.355556      0.888889E-01
         166   155.221      0.555556      0.355556      0.888889E-01
         167   165.562      0.555556      0.355556      0.888889E-01
         168   175.903      0.555556      0.355556      0.888889E-01
         169   186.245      0.555556      0.355556      0.888889E-01
         170   196.586      0.555556      0.355556      0.888889E-01
         171   206.928      0.555556      0.355556      0.888889E-01
         172   217.269      0.555556      0.355556      0.888889E-01
         173   227.610      0.555556      0.355556      0.888889E-01
         174   237.952      0.555556      0.355556      0.888889E-01
         175   248.293      0.555556      0.355556      0.888889E-01
         176   258.634      0.555556      0.355556      0.888889E-01
         177   268.976      0.555556      0.355556      0.888889E-01
         178   279.317      0.555556      0.355556      0.888889E-01
         179   289.659      0.555556      0.355556      0.888889E-01
         180   300.000      0.555556      0.355556      0.888889E-01
         181  0.100000      0.666667      0.266667      0.666667E-01
         182   10.4414      0.666667      0.266667      0.666667E-01
         183   20.7828      0.666667      0.266667      0.666667E-01
         184   31.1241      0.666667      0.266667      0.666667E-01
         185   41.4655      0.666667      0.266667      0.666667E-01
         186   51.8069      0.666667      0.266667      0.666667E-01
         187   62.1483      0.666667      0.266667      0.666667E-01
         188   72.4897      0.666667      0.266667      0.666667E-01
         189   82.8310      0.666667      0.266667      0.666667E-01
         190   93.1724      0.666667      0.266667      0.666667E-01
         191   103.514      0.666667      0.266667      0.666667E-01
         192   113.855      0.666667      0.266667      0.666667E-01
         193   124.197      0.666667      0.266667      0.666667E-01
         194   134.538      0.666667      0.266667      0.666667E-01
         195   144.879      0.666667      0.266667      0.666667E-01
         196   155.221      0.666667      0.266667      0.666667E-01
         197   165.562      0.666667      0.266667      0.666667E-01
         198   175.903      0.666667      0.266667      0.666667E-01
         199   186.245      0.666667      0.266667      0.666667E-01
         200   196.586      0.666667      0.266667      0.666667E-01
         201   206.928      0.666667      0.266667      0.666667E-01
         202   217.269      0.666667      0.266667      0.666667E-01
         203   227.610      0.666667      0.266667      0.666667E-01
         204   237.952      0.666667      0.266667      0.666667E-01
         205   248.293      0.666667      0.266667      0.666667E-01
         206   258.634      0.666667      0.266667      0.666667E-01
         207   268.976      0.666667      0.266667      0.666667E-01
         208   279.317      0.666667      0.266667      0.666667E-01
         209   289.659      0.666667      0.266667      0.666667E-01
         210   300.000      0.666667      0.266667      0.666667E-01
         211  0.100000      0.777778      0.177778      0.444444E-01
         212   10.4414      0.777778      0.177778      0.444444E-01
         213   20.7828      0.777778      0.177778      0.444444E-01
         214   31.1241      0.777778      0.177778      0.444444E-01
         215   41.4655      0.777778      0.177778      0.444444E-01
         216   51.8069      0.777778      0.177778      0.444444E-01
         217   62.1483      0.777778      0.177778      0.444444E-01
         218   72.4897      0.777778      0.177778      0.444444E-01
         219   82.8310      0.777778      0.177778      0.444444E-01
         220   93.1724      0.777778      0.177778      0.444444E-01
         221   103.514      0.777778      0.177778      0.444444E-01
         222   113.855      0.777778      0.177778      0.444444E-01
         223   124.197      0.777778      0.177778      0.444444E-01
         224   134.538      0.777778      0.177778      0.444444E-01
         225   144.879      0.777778      0.177778      0.444444E-01
         226   155.221      0.777778      0.177778      0.444444E-01
         227   165.562      0.777778      0.177778      0.444444E-01
         228   175.903      0.777778      0.177778      0.444444E-01
         229   186.245      0.777778      0.177778      0.444444E-01
         230   196.586      0.777778      0.177778      0.444444E-01
         231   206.928      0.777778      0.177778      0.444444E-01
         232   217.269      0.777778      0.177778      0.444444E-01
         233   227.610      0.777778      0.177778      0.444444E-01
         234   237.952      0.777778      0.177778      0.444444E-01
         235   248.293      0.777778      0.177778      0.444444E-01
         236   258.634      0.777778      0.177778      0.444444E-01
         237   268.976      0.777778      0.177778      0.444444E-01
         238   279.317      0.777778      0.177778      0.444444E-01
         239   289.659      0.777778      0.177778      0.444444E-01
         240   300.000      0.777778      0.177778      0.444444E-01
         241  0.100000      0.888889      0.888889E-01  0.222222E-01
         242   10.4414      0.888889      0.888889E-01  0.222222E-01
         243   20.7828      0.888889      0.888889E-01  0.222222E-01
         244   31.1241      0.888889      0.888889E-01  0.222222E-01
         245   41.4655      0.888889      0.888889E-01  0.222222E-01
         246   51.8069      0.888889      0.888889E-01  0.222222E-01
         247   62.1483      0.888889      0.888889E-01  0.222222E-01
         248   72.4897      0.888889      0.888889E-01  0.222222E-01
         249   82.8310      0.888889      0.888889E-01  0.222222E-01
         250   93.1724      0.888889      0.888889E-01  0.222222E-01
         251   103.514      0.888889      0.888889E-01  0.222222E-01
         252   113.855      0.888889      0.888889E-01  0.222222E-01
         253   124.197      0.888889      0.888889E-01  0.222222E-01
         254   134.538      0.888889      0.888889E-01  0.222222E-01
         255   144.879      0.888889      0.888889E-01  0.222222E-01
         256   155.221      0.888889      0.888889E-01  0.222222E-01
         257   165.562      0.888889      0.888889E-01  0.222222E-01
         258   175.903      0.888889      0.888889E-01  0.222222E-01
         259   186.245      0.888889      0.888889E-01  0.222222E-01
         260   196.586      0.888889      0.888889E-01  0.222222E-01
         261   206.928      0.888889      0.888889E-01  0.222222E-01
         262   217.269      0.888889      0.888889E-01  0.222222E-01
         263   227.610      0.888889      0.888889E-01  0.222222E-01
         264   237.952      0.888889      0.888889E-01  0.222222E-01
         265   248.293      0.888889      0.888889E-01  0.222222E-01
         266   258.634      0.888889      0.888889E-01  0.222222E-01
         267   268.976      0.888889      0.888889E-01  0.222222E-01
         268   279.317      0.888889      0.888889E-01  0.222222E-01
         269   289.659      0.888889      0.888889E-01  0.222222E-01
         270   300.000      0.888889      0.888889E-01  0.222222E-01
         271  0.100000       1.00000       0.00000       0.00000    
         272   10.4414       1.00000       0.00000       0.00000    
         273   20.7828       1.00000       0.00000       0.00000    
         274   31.1241       1.00000       0.00000       0.00000    
         275   41.4655       1.00000       0.00000       0.00000    
         276   51.8069       1.00000       0.00000       0.00000    
         277   62.1483       1.00000       0.00000       0.00000    
         278   72.4897       1.00000       0.00000       0.00000    
         279   82.8310       1.00000       0.00000       0.00000    
         280   93.1724       1.00000       0.00000       0.00000    
         281   103.514       1.00000       0.00000       0.00000    
         282   113.855       1.00000       0.00000       0.00000    
         283   124.197       1.00000       0.00000       0.00000    
         284   134.538       1.00000       0.00000       0.00000    
         285   144.879       1.00000       0.00000       0.00000    
         286   155.221       1.00000       0.00000       0.00000    
         287   165.562       1.00000       0.00000       0.00000    
         288   175.903       1.00000       0.00000       0.00000    
         289   186.245       1.00000       0.00000       0.00000    
         290   196.586       1.00000       0.00000       0.00000    
         291   206.928       1.00000       0.00000       0.00000    
         292   217.269       1.00000       0.00000       0.00000    
         293   227.610       1.00000       0.00000       0.00000    
         294   237.952       1.00000       0.00000       0.00000    
         295   248.293       1.00000       0.00000       0.00000    
         296   258.634       1.00000       0.00000       0.00000    
         297   268.976       1.00000       0.00000       0.00000    
         298   279.317       1.00000       0.00000       0.00000    
         299   289.659       1.00000       0.00000       0.00000    
         300   300.000       1.00000       0.00000       0.00000    


 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. *N (1/m/s)                               
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A17    Total attachment freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A19    Townsend attach. coef. eta/N (m2)                               
A20    Power /N (eV m3/s)                                              
