 Rows: Electric field / N (Td)                                         
  0.1000       10.44       20.78       31.12       41.47       51.81       62.15       72.49       82.83       93.17    
   103.5       113.9       124.2       134.5       144.9       155.2       165.6       175.9       186.2       196.6    
   206.9       217.3       227.6       238.0       248.3       258.6       269.0       279.3       289.7       300.0    

 Columns: Mole fraction He
   0.000      0.1111      0.2222      0.3333      0.4444      0.5556      0.6667      0.7778      0.8889       1.000    

 Columns: Mole fraction N2
  0.8000      0.7111      0.6222      0.5333      0.4444      0.3556      0.2667      0.1778      0.8889E-01   0.000    

 Columns: Mole fraction O2
  0.2000      0.1778      0.1556      0.1333      0.1111      0.8889E-01  0.6667E-01  0.4444E-01  0.2222E-01   0.000    

 Mean energy (eV)                                                
  0.1603      0.1388      0.1255      0.1161      0.1090      0.1033      0.9863E-01  0.9464E-01  0.9119E-01  0.8814E-01
   2.365       2.437       2.517       2.605       2.707       2.825       2.973       3.175       3.520       6.320    
   2.979       3.056       3.144       3.248       3.371       3.527       3.736       4.045       4.643       8.017    
   3.354       3.447       3.556       3.685       3.842       4.042       4.315       4.732       5.571       9.002    
   3.672       3.783       3.913       4.068       4.257       4.500       4.835       5.361       6.431       9.886    
   3.964       4.093       4.242       4.421       4.641       4.926       5.326       5.964       7.238       10.74    
   4.238       4.381       4.549       4.751       5.004       5.333       5.801       6.551       7.999       11.58    
   4.498       4.658       4.843       5.070       5.353       5.729       6.266       7.122       8.721       12.42    
   4.747       4.921       5.126       5.378       5.695       6.117       6.722       7.677       9.414       13.28    
   4.987       5.176       5.403       5.680       6.030       6.499       7.169       8.217       10.08       14.15    
   5.219       5.427       5.673       5.974       6.360       6.875       7.607       8.745       10.73       15.04    
   5.449       5.671       5.936       6.265       6.685       7.245       8.039       9.259       11.37       15.95    
   5.672       5.910       6.198       6.553       7.005       7.608       8.462       9.764       12.00       16.88    
   5.891       6.148       6.455       6.836       7.322       7.968       8.878       10.26       12.63       17.84    
   6.108       6.380       6.710       7.116       7.635       8.321       9.285       10.75       13.25       18.82    
