ID     Reaction                                            Energy       Database        File      
16     E + N2 -> E + N2 [A3Su+(v=10+)], Excitation         7.8          IST-Lisbon      ./LXCatData/N2/R16.txt
17     E + N2 -> E + N2(B3Su-), Excitation                 8.2          IST-Lisbon      ./LXCatData/N2/R17.txt
18     E + N2 -> E + N2(a1Su-), Excitation                 8.4          IST-Lisbon      ./LXCatData/N2/R18.txt
19     E + N2 -> E + N2(a1Pg), Excitation                  8.6          IST-Lisbon      ./LXCatData/N2/R19.txt
20     E + N2 -> E + N2(w1Du), Excitation                  8.9          IST-Lisbon      ./LXCatData/N2/R20.txt
21     E + N2 -> E + N2(C3Pu), Excitation                  11           IST-Lisbon      ./LXCatData/N2/R21.txt
22     E + N2 -> E + N2(E3Sg+), Excitation                 11.8         IST-Lisbon      ./LXCatData/N2/R22.txt
23     E + N2 -> E + N2(a1Sg+), Excitation                 12.2         IST-Lisbon      ./LXCatData/N2/R23.txt
24     E + N2 -> E + N2(sing-sup), Excitation              13           IST-Lisbon      ./LXCatData/N2/R24.txt
25     E + N2 -> E + E + N2+(X), Ionization                15.6         IST-Lisbon      ./LXCatData/N2/R25.txt
26     E + N2 -> E + E + N2+(B), Ionization                18.8         IST-Lisbon      ./LXCatData/N2/R26.txt

1      E + O2 -> O- + O, Attachment                        0            IST-Lisbon      ./LXCatData/O2/R1.txt
2      E + O2 -> E + O2, Effective                         --           IST-Lisbon      ./LXCatData/O2/R2.txt
3      E + O2 -> E + O2(v=0 - v=1), Excitation             0.19         IST-Lisbon      ./LXCatData/O2/R3.txt
4      E + O2 -> E + O2(v=0 - v=2), Excitation             0.38         IST-Lisbon      ./LXCatData/O2/R4.txt
5      E + O2 -> E + O2(v=0 - v=3), Excitation             0.6          IST-Lisbon      ./LXCatData/O2/R5.txt
6      E + O2 -> E + O2(v=0 - v=4), Excitation             0.8          IST-Lisbon      ./LXCatData/O2/R6.txt
7      E + O2 -> E + O2(a1Dg), Excitation                  0.977        IST-Lisbon      ./LXCatData/O2/R7.txt
