"E:0","E:1","E:2","epsilon","epsilonD","epsilonI","volt","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0025075,0.0012879,2.8615e+05,nan,nan,nan,1162.6,1,0.011377,0,0,0.011377
0.0025288,0.0014407,2.7932e+05,nan,nan,nan,1135.3,1,0.01148,0,0,0.01148
0.0025501,0.0015935,2.725e+05,nan,nan,nan,1108,1,0.011583,0,0,0.011583
0.0025713,0.0017463,2.6568e+05,nan,nan,nan,1080.7,1,0.011685,0,0,0.011685
0.0025926,0.001899,2.5885e+05,nan,nan,nan,1053.4,1,0.011788,0,0,0.011788
0.0026138,0.0020518,2.5203e+05,nan,nan,nan,1026.1,1,0.01189,0,0,0.01189
0.0028291,0.002292,2.457e+05,nan,nan,nan,1000.7,1,0.011993,0,0,0.011993
0.0032403,0.0026205,2.3985e+05,nan,nan,nan,977.21,1,0.012095,0,0,0.012095
0.0036515,0.0029489,2.3401e+05,nan,nan,nan,953.72,1,0.012198,0,0,0.012198
0.0040627,0.0032774,2.2817e+05,nan,nan,nan,930.24,1,0.0123,0,0,0.0123
0.0044739,0.0036058,2.2233e+05,nan,nan,nan,906.76,1,0.012403,0,0,0.012403
0.0048851,0.0039343,2.1649e+05,nan,nan,nan,883.27,1,0.012505,0,0,0.012505
0.0050788,0.0040949,2.1101e+05,nan,nan,nan,861.21,1,0.012607,0,0,0.012607
0.0049617,0.0040157,2.0605e+05,nan,nan,nan,841.18,1,0.01271,0,0,0.01271
0.0048447,0.0039365,2.0109e+05,nan,nan,nan,821.15,1,0.012812,0,0,0.012812
0.0047276,0.0038572,1.9613e+05,nan,nan,nan,801.12,1,0.012915,0,0,0.012915
0.0046105,0.003778,1.9118e+05,nan,nan,nan,781.1,1,0.013017,0,0,0.013017
0.0044935,0.0036988,1.8622e+05,nan,nan,nan,761.07,1,0.01312,0,0,0.01312
0.0043764,0.0036196,1.8126e+05,nan,nan,nan,741.04,1,0.013222,0,0,0.013222
0.0042326,0.0035297,1.7705e+05,nan,nan,nan,723.98,1,0.013325,0,0,0.013325
0.0040875,0.0034393,1.7287e+05,nan,nan,nan,707.04,1,0.013427,0,0,0.013427
0.0039425,0.003349,1.6869e+05,nan,nan,nan,690.1,1,0.01353,0,0,0.01353
0.0037975,0.0032586,1.6452e+05,nan,nan,nan,673.16,1,0.013632,0,0,0.013632
0.0036525,0.0031682,1.6034e+05,nan,nan,nan,656.22,1,0.013735,0,0,0.013735
0.0035074,0.0030779,1.5616e+05,nan,nan,nan,639.28,1,0.013837,0,0,0.013837
0.0033696,0.0029903,1.5207e+05,nan,nan,nan,622.68,1,0.01394,0,0,0.01394
0.0032844,0.0029229,1.4858e+05,nan,nan,nan,608.49,1,0.014042,0,0,0.014042
0.0031991,0.0028556,1.451e+05,nan,nan,nan,594.3,1,0.014145,0,0,0.014145
0.0031139,0.0027882,1.4161e+05,nan,nan,nan,580.11,1,0.014248,0,0,0.014248
0.0030287,0.0027209,1.3812e+05,nan,nan,nan,565.93,1,0.01435,0,0,0.01435
0.0029434,0.0026536,1.3464e+05,nan,nan,nan,551.74,1,0.014453,0,0,0.014453
0.0028582,0.0025862,1.3115e+05,nan,nan,nan,537.55,1,0.014555,0,0,0.014555
0.002773,0.0025189,1.2766e+05,nan,nan,nan,523.36,1,0.014658,0,0,0.014658
0.0027183,0.0024669,1.247e+05,nan,nan,nan,511.28,1,0.01476,0,0,0.01476
0.0026681,0.0024173,1.2182e+05,nan,nan,nan,499.51,1,0.014863,0,0,0.014863
0.002618,0.0023676,1.1893e+05,nan,nan,nan,487.74,1,0.014965,0,0,0.014965
0.0025679,0.002318,1.1605e+05,nan,nan,nan,475.96,1,0.015068,0,0,0.015068
0.0025177,0.0022684,1.1317e+05,nan,nan,nan,464.19,1,0.01517,0,0,0.01517
0.0024676,0.0022187,1.1028e+05,nan,nan,nan,452.42,1,0.015272,0,0,0.015272
0.0024174,0.0021691,1.074e+05,nan,nan,nan,440.65,1,0.015375,0,0,0.015375
0.0023737,0.0021285,1.0461e+05,nan,nan,nan,429.27,1,0.015477,0,0,0.015477
0.0023583,0.002128,1.0225e+05,nan,nan,nan,419.61,1,0.01558,0,0,0.01558
0.0023428,0.0021276,99893,nan,nan,nan,409.95,1,0.015682,0,0,0.015682
0.0023273,0.0021271,97533,nan,nan,nan,400.29,1,0.015785,0,0,0.015785
0.0023119,0.0021266,95172,nan,nan,nan,390.63,1,0.015888,0,0,0.015888
0.0022964,0.0021262,92811,nan,nan,nan,380.97,1,0.01599,0,0,0.01599
0.002281,0.0021257,90451,nan,nan,nan,371.31,1,0.016092,0,0,0.016092
0.0022655,0.0021252,88090,nan,nan,nan,361.65,1,0.016195,0,0,0.016195
0.0022507,0.0021248,85747,nan,nan,nan,352.06,1,0.016298,0,0,0.016298
0.0022511,0.0021257,83834,nan,nan,nan,344.22,1,0.0164,0,0,0.0164
0.0022516,0.0021266,81922,nan,nan,nan,336.37,1,0.016502,0,0,0.016502
0.002252,0.0021275,80010,nan,nan,nan,328.53,1,0.016605,0,0,0.016605
0.0022525,0.0021284,78098,nan,nan,nan,320.69,1,0.016708,0,0,0.016708
0.0022529,0.0021292,76186,nan,nan,nan,312.85,1,0.01681,0,0,0.01681
0.0022533,0.0021301,74274,nan,nan,nan,305.01,1,0.016912,0,0,0.016912
0.0022538,0.002131,72362,nan,nan,nan,297.17,1,0.017015,0,0,0.017015
0.0022542,0.0021319,70450,nan,nan,nan,289.33,1,0.017118,0,0,0.017118
0.0022544,0.0021269,68691,nan,nan,nan,282.12,1,0.01722,0,0,0.01722
0.0022542,0.0021131,67160,nan,nan,nan,275.83,1,0.017322,0,0,0.017322
0.002254,0.0020994,65628,nan,nan,nan,269.54,1,0.017425,0,0,0.017425
0.0022538,0.0020856,64097,nan,nan,nan,263.25,1,0.017528,0,0,0.017528
0.0022536,0.0020719,62566,nan,nan,nan,256.96,1,0.01763,0,0,0.01763
0.0022534,0.0020581,61034,nan,nan,nan,250.67,1,0.017732,0,0,0.017732
0.0022532,0.0020444,59503,nan,nan,nan,244.38,1,0.017835,0,0,0.017835
0.0022529,0.0020306,57972,nan,nan,nan,238.09,1,0.017938,0,0,0.017938
0.0022527,0.0020169,56440,nan,nan,nan,231.81,1,0.01804,0,0,0.01804
0.0022493,0.0020063,54989,nan,nan,nan,225.84,1,0.018142,0,0,0.018142
0.0022359,0.0020055,53777,nan,nan,nan,220.86,1,0.018245,0,0,0.018245
0.0022225,0.0020048,52566,nan,nan,nan,215.88,1,0.018347,0,0,0.018347
0.0022092,0.002004,51355,nan,nan,nan,210.91,1,0.01845,0,0,0.01845
0.0021958,0.0020032,50144,nan,nan,nan,205.93,1,0.018553,0,0,0.018553
0.0021824,0.0020024,48933,nan,nan,nan,200.95,1,0.018655,0,0,0.018655
0.0021691,0.0020016,47721,nan,nan,nan,195.97,1,0.018757,0,0,0.018757
0.0021557,0.0020008,46510,nan,nan,nan,190.99,1,0.01886,0,0,0.01886
0.0021423,0.002,45299,nan,nan,nan,186.01,1,0.018963,0,0,0.018963
0.002129,0.0019993,44088,nan,nan,nan,181.03,1,0.019065,0,0,0.019065
0.002123,0.001999,43021,nan,nan,nan,176.65,1,0.019167,0,0,0.019167
0.0021233,0.0019992,42076,nan,nan,nan,172.76,1,0.01927,0,0,0.01927
0.0021236,0.0019994,41130,nan,nan,nan,168.87,1,0.019373,0,0,0.019373
0.0021239,0.0019996,40184,nan,nan,nan,164.98,1,0.019475,0,0,0.019475
0.0021241,0.0019997,39239,nan,nan,nan,161.09,1,0.019577,0,0,0.019577
0.0021244,0.0019999,38293,nan,nan,nan,157.2,1,0.01968,0,0,0.01968
0.0021247,0.0020001,37347,nan,nan,nan,153.31,1,0.019783,0,0,0.019783
