"Ma","T","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","alphat","k","nut","p","rho","rhoMean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0024483,299.85,0.85208,0.0022851,0,0.8501,0.0023036,0,0.0014955,5.2296e-06,0,-1.4139e-05,0,0,0,6.4872e-07,0,99770,1.1565,1.1556,1,0.000135,0.025,0.000135,0
0.0025386,299.85,0.88349,0.0024503,0,0.88147,0.0024701,0,0.001582,5.8068e-06,0,-1.5374e-05,0,0,0,6.4845e-07,0,99770,1.1565,1.1556,1,0.00014,0.025,0.00014,0
0.0026288,299.85,0.91489,0.0026155,0,0.91285,0.0026367,0,0.0016686,6.384e-06,0,-1.661e-05,0,0,0,6.4819e-07,0,99770,1.1565,1.1556,1,0.000145,0.025,0.000145,0
0.0027191,299.85,0.9463,0.0027806,0,0.94422,0.0028033,0,0.0017551,6.9611e-06,0,-1.7845e-05,0,0,0,6.4792e-07,0,99770,1.1565,1.1556,1,0.00015,0.025,0.00015,0
0.0028093,299.85,0.97771,0.0029458,0,0.9756,0.0029699,0,0.0018416,7.5383e-06,0,-1.908e-05,0,0,0,6.4765e-07,0,99770,1.1565,1.1556,1,0.000155,0.025,0.000155,0
0.0028992,299.85,1.009,0.0031358,0,1.0069,0.0031615,0,0.0019327,8.3406e-06,0,-2.0522e-05,0,0,0,6.4726e-07,0,99770,1.1565,1.1556,1,0.00016,0.025,0.00016,0
0.0029888,299.85,1.0402,0.0033525,0,1.038,0.00338,0,0.0020285,9.3851e-06,0,-2.2187e-05,0,0,0,6.4674e-07,0,99770,1.1565,1.1556,1,0.000165,0.025,0.000165,0
0.0030783,299.85,1.0713,0.0035692,0,1.0691,0.0035986,0,0.0021243,1.043e-05,0,-2.3851e-05,0,0,0,6.4622e-07,0,99770,1.1565,1.1556,1,0.00017,0.025,0.00017,0
0.0031679,299.85,1.1025,0.0037859,0,1.1003,0.0038172,0,0.0022202,1.1474e-05,0,-2.5516e-05,0,0,0,6.4569e-07,0,99770,1.1565,1.1556,1,0.000175,0.025,0.000175,0
0.0032574,299.85,1.1337,0.0040026,0,1.1314,0.0040357,0,0.002316,1.2518e-05,0,-2.718e-05,0,0,0,6.4517e-07,0,99770,1.1565,1.1556,1,0.00018,0.025,0.00018,0
0.003347,299.85,1.1648,0.0042193,0,1.1625,0.0042543,0,0.0024119,1.3563e-05,0,-2.8845e-05,0,0,0,6.4465e-07,0,99770,1.1565,1.1556,1,0.000185,0.025,0.000185,0
0.0034365,299.85,1.196,0.004436,0,1.1937,0.0044728,0,0.0025077,1.4607e-05,0,-3.0509e-05,0,0,0,6.4412e-07,0,99770,1.1565,1.1556,1,0.00019,0.025,0.00019,0
0.0035261,299.85,1.2272,0.0046527,0,1.2248,0.0046914,0,0.0026035,1.5652e-05,0,-3.2174e-05,0,0,0,6.436e-07,0,99770,1.1565,1.1556,1,0.000195,0.025,0.000195,0
0.0036157,299.85,1.2583,0.0048695,0,1.2559,0.00491,0,0.0026994,1.6696e-05,0,-3.3838e-05,0,0,0,6.4308e-07,0,99770,1.1565,1.1556,1,0.0002,0.025,0.0002,0
