"E:0","E:1","E:2","epsilon","epsilonD","epsilonI","volt","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-8.3491e-20,1.6479e+05,nan,nan,nan,11105,1,0.005945,0,0,0.005945
0,-8.2942e-20,1.6327e+05,nan,nan,nan,11088,1,0.0060475,0,0,0.0060475
-8.2382e-20,-8.2382e-20,1.6176e+05,nan,nan,nan,11072,1,0.00615,0,0,0.00615
-8.1307e-20,-8.1359e-20,1.6029e+05,nan,nan,nan,11055,1,0.0062525,0,0,0.0062525
-8.0206e-20,-1.5369e-26,1.5881e+05,nan,nan,nan,11039,1,0.006355,0,0,0.006355
-2.2692e-26,-7.8956e-20,1.5737e+05,nan,nan,nan,11023,1,0.0064575,0,0,0.0064575
-2.9799e-26,-7.7409e-20,1.5596e+05,nan,nan,nan,11007,1,0.00656,0,0,0.00656
-3.6921e-26,-7.5912e-20,1.5455e+05,nan,nan,nan,10991,1,0.0066625,0,0,0.0066625
-4.0434e-26,-7.4387e-20,1.5319e+05,nan,nan,nan,10975,1,0.006765,0,0,0.006765
-4.0484e-26,-7.2557e-20,1.5187e+05,nan,nan,nan,10959,1,0.0068675,0,0,0.0068675
-4.0598e-26,-7.0845e-20,1.5055e+05,nan,nan,nan,10944,1,0.00697,0,0,0.00697
-6.9079e-20,-4.0615e-26,1.4928e+05,nan,nan,nan,10928,1,0.0070725,0,0,0.0070725
-6.7214e-20,-4.0506e-26,1.4806e+05,nan,nan,nan,10913,1,0.007175,0,0,0.007175
-6.5372e-20,-4.041e-26,1.4684e+05,nan,nan,nan,10898,1,0.0072775,0,0,0.0072775
-1.8579e-26,2.1628e-05,1.4565e+05,nan,nan,nan,10883,1,0.00738,0,0,0.00738
-1.2601e-26,9.5723e-05,1.4454e+05,nan,nan,nan,10868,1,0.0074825,0,0,0.0074825
-5.9816e-20,0.00016982,1.4344e+05,nan,nan,nan,10854,1,0.007585,0,0,0.007585
-5.8025e-20,0.00024391,1.4233e+05,nan,nan,nan,10839,1,0.0076875,0,0,0.0076875
-5.6241e-20,0.00031331,1.4132e+05,nan,nan,nan,10824,1,0.00779,0,0,0.00779
-5.4412e-20,0.00038215,1.4033e+05,nan,nan,nan,10810,1,0.0078925,0,0,0.0078925
-5.2671e-20,0.00045099,1.3934e+05,nan,nan,nan,10796,1,0.007995,0,0,0.007995
-5.0932e-20,0.00049973,1.3838e+05,nan,nan,nan,10781,1,0.0080975,0,0,0.0080975
-4.928e-20,0.00049973,1.375e+05,nan,nan,nan,10767,1,0.0082,0,0,0.0082
-4.7644e-20,0.00049973,1.3662e+05,nan,nan,nan,10753,1,0.0083025,0,0,0.0083025
-4.5977e-20,0.00049973,1.3575e+05,nan,nan,nan,10739,1,0.008405,0,0,0.008405
2.9246e-05,0.00049995,1.3492e+05,nan,nan,nan,10725,1,0.0085075,0,0,0.0085075
9.0981e-05,0.00050042,1.3416e+05,nan,nan,nan,10712,1,0.00861,0,0,0.00861
0.00015271,0.00050089,1.3339e+05,nan,nan,nan,10698,1,0.0087125,0,0,0.0087125
0.00021445,0.00050136,1.3263e+05,nan,nan,nan,10684,1,0.008815,0,0,0.008815
0.00026237,0.0005076,1.3191e+05,nan,nan,nan,10671,1,0.0089175,0,0,0.0089175
0.00029171,0.00052161,1.3125e+05,nan,nan,nan,10657,1,0.00902,0,0,0.00902
0.00032106,0.00053561,1.3059e+05,nan,nan,nan,10644,1,0.0091225,0,0,0.0091225
0.0003504,0.00054962,1.2994e+05,nan,nan,nan,10630,1,0.009225,0,0,0.009225
0.00037315,0.0005632,1.2929e+05,nan,nan,nan,10617,1,0.0093275,0,0,0.0093275
0.00035407,0.0005741,1.2873e+05,nan,nan,nan,10604,1,0.00943,0,0,0.00943
0.00033499,0.00058501,1.2817e+05,nan,nan,nan,10591,1,0.0095325,0,0,0.0095325
0.0003159,0.00059591,1.2762e+05,nan,nan,nan,10578,1,0.009635,0,0,0.009635
0.00029682,0.00060681,1.2706e+05,nan,nan,nan,10565,1,0.0097375,0,0,0.0097375
0.00029792,0.0006084,1.2655e+05,nan,nan,nan,10552,1,0.00984,0,0,0.00984
0.00031316,0.00060345,1.2608e+05,nan,nan,nan,10539,1,0.0099425,0,0,0.0099425
0.00032839,0.0005985,1.2561e+05,nan,nan,nan,10526,1,0.010045,0,0,0.010045
0.00034363,0.00059356,1.2514e+05,nan,nan,nan,10513,1,0.010147,0,0,0.010147
0.00035886,0.00058861,1.2467e+05,nan,nan,nan,10500,1,0.01025,0,0,0.01025
0.00037357,0.00058567,1.2427e+05,nan,nan,nan,10487,1,0.010352,0,0,0.010352
0.00038813,0.00058334,1.2388e+05,nan,nan,nan,10475,1,0.010455,0,0,0.010455
0.00040269,0.00058101,1.2349e+05,nan,nan,nan,10462,1,0.010557,0,0,0.010557
0.00041724,0.00057867,1.231e+05,nan,nan,nan,10449,1,0.01066,0,0,0.01066
0.0004318,0.00057634,1.2272e+05,nan,nan,nan,10437,1,0.010762,0,0,0.010762
0.00044303,0.00057404,1.2237e+05,nan,nan,nan,10424,1,0.010865,0,0,0.010865
0.00045254,0.00057175,1.2206e+05,nan,nan,nan,10412,1,0.010967,0,0,0.010967
0.00046205,0.00056946,1.2174e+05,nan,nan,nan,10399,1,0.01107,0,0,0.01107
0.00047155,0.00056717,1.2142e+05,nan,nan,nan,10387,1,0.011172,0,0,0.011172
0.00048106,0.00056488,1.2111e+05,nan,nan,nan,10374,1,0.011275,0,0,0.011275
0.00048984,0.00056261,1.208e+05,nan,nan,nan,10362,1,0.011377,0,0,0.011377
0.00049631,0.00056036,1.2055e+05,nan,nan,nan,10349,1,0.01148,0,0,0.01148
0.00050279,0.00055812,1.2029e+05,nan,nan,nan,10337,1,0.011583,0,0,0.011583
0.00050927,0.00055588,1.2004e+05,nan,nan,nan,10325,1,0.011685,0,0,0.011685
0.00051574,0.00055364,1.1978e+05,nan,nan,nan,10313,1,0.011788,0,0,0.011788
0.00052222,0.0005514,1.1952e+05,nan,nan,nan,10300,1,0.01189,0,0,0.01189
0.00052848,0.00055021,1.1929e+05,nan,nan,nan,10288,1,0.011993,0,0,0.011993
0.00053451,0.00055009,1.1909e+05,nan,nan,nan,10276,1,0.012095,0,0,0.012095
0.00054054,0.00054998,1.1889e+05,nan,nan,nan,10264,1,0.012198,0,0,0.012198
0.00054658,0.00054986,1.1868e+05,nan,nan,nan,10251,1,0.0123,0,0,0.0123
0.00055261,0.00054974,1.1848e+05,nan,nan,nan,10239,1,0.012403,0,0,0.012403
0.00055864,0.00054962,1.1828e+05,nan,nan,nan,10227,1,0.012505,0,0,0.012505
0.00056382,0.00055039,1.1809e+05,nan,nan,nan,10215,1,0.012607,0,0,0.012607
0.00056777,0.00055242,1.1793e+05,nan,nan,nan,10203,1,0.01271,0,0,0.01271
0.00057173,0.00055446,1.1777e+05,nan,nan,nan,10191,1,0.012812,0,0,0.012812
0.00057568,0.00055649,1.1761e+05,nan,nan,nan,10179,1,0.012915,0,0,0.012915
0.00057963,0.00055852,1.1745e+05,nan,nan,nan,10167,1,0.013017,0,0,0.013017
0.00058359,0.00056055,1.1729e+05,nan,nan,nan,10155,1,0.01312,0,0,0.01312
0.00058754,0.00056258,1.1713e+05,nan,nan,nan,10143,1,0.013222,0,0,0.013222
0.0005912,0.00056267,1.1701e+05,nan,nan,nan,10131,1,0.013325,0,0,0.013325
0.00059484,0.00056267,1.1689e+05,nan,nan,nan,10119,1,0.013427,0,0,0.013427
0.00059848,0.00056267,1.1676e+05,nan,nan,nan,10107,1,0.01353,0,0,0.01353
0.00060212,0.00056267,1.1664e+05,nan,nan,nan,10095,1,0.013632,0,0,0.013632
0.00060577,0.00056267,1.1652e+05,nan,nan,nan,10083,1,0.013735,0,0,0.013735
0.00060941,0.00056267,1.1639e+05,nan,nan,nan,10071,1,0.013837,0,0,0.013837
0.00061303,0.00056246,1.1627e+05,nan,nan,nan,10059,1,0.01394,0,0,0.01394
0.00061645,0.0005607,1.1618e+05,nan,nan,nan,10047,1,0.014042,0,0,0.014042
0.00061987,0.00055894,1.1609e+05,nan,nan,nan,10035,1,0.014145,0,0,0.014145
0.00062329,0.00055718,1.1599e+05,nan,nan,nan,10023,1,0.014248,0,0,0.014248
0.00062671,0.00055542,1.159e+05,nan,nan,nan,10011,1,0.01435,0,0,0.01435
