"E:0","E:1","E:2","epsilon","epsilonD","epsilonI","volt","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.0363e-11,2.9047e+05,-7.5478e-13,1,nan,nan,11881,1,0.0003828,0,0.0037828,0
-3.03e-11,2.8987e+05,-7.037e-13,1,nan,nan,11879,1,0.0003894,0,0.0037894,0
-3.0237e-11,2.8927e+05,-6.5078e-13,1,nan,nan,11877,1,0.000396,0,0.003796,0
-3.0175e-11,2.8867e+05,-5.9602e-13,1,nan,nan,11875,1,0.0004026,0,0.0038026,0
-3.0112e-11,2.8807e+05,-5.3943e-13,1,nan,nan,11873,1,0.0004092,0,0.0038092,0
-3.0049e-11,2.8747e+05,-4.81e-13,1,nan,nan,11871,1,0.0004158,0,0.0038158,0
-2.9987e-11,2.8687e+05,-4.2073e-13,1,nan,nan,11869,1,0.0004224,0,0.0038224,0
-2.9924e-11,2.8627e+05,-3.5862e-13,1,nan,nan,11867,1,0.000429,0,0.003829,0
-2.9861e-11,2.8567e+05,-2.9468e-13,1,nan,nan,11865,1,0.0004356,0,0.0038356,0
-2.9799e-11,2.8507e+05,-2.289e-13,1,nan,nan,11864,1,0.0004422,0,0.0038422,0
-2.9736e-11,2.8448e+05,-1.6128e-13,1,nan,nan,11862,1,0.0004488,0,0.0038488,0
-2.9673e-11,2.8388e+05,-9.1826e-14,1,nan,nan,11860,1,0.0004554,0,0.0038554,0
-2.9611e-11,2.8328e+05,-2.0532e-14,1,nan,nan,11858,1,0.000462,0,0.003862,0
-2.9549e-11,2.8268e+05,7.8578e-28,1,nan,nan,11856,1,0.0004686,0,0.0038686,0
-2.9487e-11,2.8209e+05,7.505e-28,1,nan,nan,11854,1,0.0004752,0,0.0038752,0
-2.9425e-11,2.815e+05,7.1449e-28,1,nan,nan,11852,1,0.0004818,0,0.0038818,0
-2.9364e-11,2.8091e+05,6.7774e-28,1,nan,nan,11850,1,0.0004884,0,0.0038884,0
-2.9302e-11,2.8032e+05,6.4026e-28,1,nan,nan,11849,1,0.000495,0,0.003895,0
-2.924e-11,2.7973e+05,6.0207e-28,1,nan,nan,11847,1,0.0005016,0,0.0039016,0
-2.9178e-11,2.7914e+05,5.6316e-28,1,nan,nan,11845,1,0.0005082,0,0.0039082,0
-2.9117e-11,2.7855e+05,5.2355e-28,1,nan,nan,11843,1,0.0005148,0,0.0039148,0
-2.9055e-11,2.7796e+05,4.8324e-28,1,nan,nan,11841,1,0.0005214,0,0.0039214,0
-2.8993e-11,2.7737e+05,4.4223e-28,1,nan,nan,11839,1,0.000528,0,0.003928,0
-2.8932e-11,2.7678e+05,4.0054e-28,1,nan,nan,11838,1,0.0005346,0,0.0039346,0
-2.887e-11,2.7619e+05,3.5816e-28,1,nan,nan,11836,1,0.0005412,0,0.0039412,0
-2.8808e-11,2.756e+05,3.1511e-28,1,nan,nan,11834,1,0.0005478,0,0.0039478,0
-2.8747e-11,2.7501e+05,2.714e-28,1,nan,nan,11832,1,0.0005544,0,0.0039544,0
-2.8685e-11,2.7442e+05,2.2702e-28,1,nan,nan,11830,1,0.000561,0,0.003961,0
-2.6238e-11,2.7383e+05,1.8199e-28,1,nan,nan,11828,1,0.0005676,0,0.0039676,0
-2.6181e-11,2.7324e+05,1.3631e-28,1,nan,nan,11827,1,0.0005742,0,0.0039742,0
-2.6125e-11,2.7265e+05,8.9983e-29,1,nan,nan,11825,1,0.0005808,0,0.0039808,0
-2.6068e-11,2.7206e+05,4.3023e-29,1,nan,nan,11823,1,0.0005874,0,0.0039874,0
-2.6012e-11,2.7147e+05,0,1,nan,nan,11821,1,0.000594,0,0.003994,0
-2.5956e-11,2.7089e+05,0,1,nan,nan,11819,1,0.0006006,0,0.0040006,0
-2.5901e-11,2.7032e+05,0,1,nan,nan,11817,1,0.0006072,0,0.0040072,0
-2.5846e-11,2.6974e+05,0,1,nan,nan,11816,1,0.0006138,0,0.0040138,0
-2.579e-11,2.6916e+05,0,1,nan,nan,11814,1,0.0006204,0,0.0040204,0
-2.5735e-11,2.6858e+05,0,1,nan,nan,11812,1,0.000627,0,0.004027,0
-2.5679e-11,2.68e+05,0,1,nan,nan,11810,1,0.0006336,0,0.0040336,0
-2.5624e-11,2.6742e+05,0,1,nan,nan,11809,1,0.0006402,0,0.0040402,0
-2.5568e-11,2.6684e+05,0,1,nan,nan,11807,1,0.0006468,0,0.0040468,0
-2.5513e-11,2.6627e+05,0,1,nan,nan,11805,1,0.0006534,0,0.0040534,0
-2.5458e-11,2.6569e+05,0,1,nan,nan,11803,1,0.00066,0,0.00406,0
-2.5402e-11,2.6511e+05,0,1,nan,nan,11802,1,0.0006666,0,0.0040666,0
-2.5347e-11,2.6453e+05,0,1,nan,nan,11800,1,0.0006732,0,0.0040732,0
-2.5291e-11,2.6395e+05,0,1,nan,nan,11798,1,0.0006798,0,0.0040798,0
-2.5236e-11,2.6337e+05,0,1,nan,nan,11796,1,0.0006864,0,0.0040864,0
-2.518e-11,2.628e+05,0,1,nan,nan,11795,1,0.000693,0,0.004093,0
-2.5125e-11,2.6222e+05,0,1,nan,nan,11793,1,0.0006996,0,0.0040996,0
-2.5069e-11,2.6164e+05,0,1,nan,nan,11791,1,0.0007062,0,0.0041062,0
-2.5014e-11,2.6106e+05,0,1,nan,nan,11789,1,0.0007128,0,0.0041128,0
-2.4959e-11,2.6048e+05,0,1,nan,nan,11788,1,0.0007194,0,0.0041194,0
-2.4903e-11,2.599e+05,0,1,nan,nan,11786,1,0.000726,0,0.004126,0
-2.4848e-11,2.5932e+05,0,1,nan,nan,11784,1,0.0007326,0,0.0041326,0
