"E:0","E:1","E:2","epsilon","epsilonD","epsilonI","volt","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.7171e-10,3.556e+06,-6.2862e-12,1,nan,nan,10543,1,0.0003828,0,0.0037828,0
-3.7098e-10,3.5491e+06,-5.8595e-12,1,nan,nan,10520,1,0.0003894,0,0.0037894,0
-3.7025e-10,3.5421e+06,-5.4178e-12,1,nan,nan,10496,1,0.000396,0,0.003796,0
-3.6953e-10,3.5352e+06,-4.9609e-12,1,nan,nan,10473,1,0.0004026,0,0.0038026,0
-3.688e-10,3.5282e+06,-4.489e-12,1,nan,nan,10450,1,0.0004092,0,0.0038092,0
-3.6807e-10,3.5213e+06,-4.002e-12,1,nan,nan,10426,1,0.0004158,0,0.0038158,0
-3.6735e-10,3.5143e+06,-3.5e-12,1,nan,nan,10403,1,0.0004224,0,0.0038224,0
-3.6662e-10,3.5074e+06,-2.9828e-12,1,nan,nan,10379,1,0.000429,0,0.003829,0
-3.659e-10,3.5004e+06,-2.4505e-12,1,nan,nan,10356,1,0.0004356,0,0.0038356,0
-3.6517e-10,3.4935e+06,-1.9032e-12,1,nan,nan,10332,1,0.0004422,0,0.0038422,0
-3.6444e-10,3.4865e+06,-1.3408e-12,1,nan,nan,10309,1,0.0004488,0,0.0038488,0
-3.6372e-10,3.4796e+06,-7.6324e-13,1,nan,nan,10286,1,0.0004554,0,0.0038554,0
-3.6299e-10,3.4726e+06,-1.7063e-13,1,nan,nan,10262,1,0.000462,0,0.003862,0
-3.6228e-10,3.4658e+06,9.363e-05,1,nan,nan,10239,1,0.0004686,0,0.0038686,0
-3.6157e-10,3.4591e+06,0.00022428,1,nan,nan,10217,1,0.0004752,0,0.0038752,0
-3.6087e-10,3.4523e+06,0.00035493,1,nan,nan,10194,1,0.0004818,0,0.0038818,0
-3.6016e-10,3.4456e+06,0.00048558,1,nan,nan,10171,1,0.0004884,0,0.0038884,0
-3.5946e-10,3.4388e+06,0.00061623,1,nan,nan,10149,1,0.000495,0,0.003895,0
-3.5875e-10,3.4321e+06,0.00074687,1,nan,nan,10126,1,0.0005016,0,0.0039016,0
-3.5805e-10,3.4253e+06,0.00087752,1,nan,nan,10104,1,0.0005082,0,0.0039082,0
-3.5734e-10,3.4186e+06,0.0010082,1,nan,nan,10081,1,0.0005148,0,0.0039148,0
-3.5664e-10,3.4118e+06,0.0011388,1,nan,nan,10058,1,0.0005214,0,0.0039214,0
-3.5593e-10,3.4051e+06,0.0012695,1,nan,nan,10036,1,0.000528,0,0.003928,0
-3.5522e-10,3.3983e+06,0.0014001,1,nan,nan,10013,1,0.0005346,0,0.0039346,0
-3.5452e-10,3.3916e+06,0.0015308,1,nan,nan,9990.6,1,0.0005412,0,0.0039412,0
-3.5381e-10,3.3848e+06,0.0016614,1,nan,nan,9968,1,0.0005478,0,0.0039478,0
-3.5311e-10,3.3781e+06,0.0017921,1,nan,nan,9945.4,1,0.0005544,0,0.0039544,0
-3.524e-10,3.3714e+06,0.0019227,1,nan,nan,9922.8,1,0.000561,0,0.003961,0
-3.2239e-10,3.3646e+06,0.0020534,1,nan,nan,9900.2,1,0.0005676,0,0.0039676,0
-3.2174e-10,3.3579e+06,0.002184,1,nan,nan,9877.6,1,0.0005742,0,0.0039742,0
-3.211e-10,3.3511e+06,0.0023147,1,nan,nan,9855,1,0.0005808,0,0.0039808,0
-3.2045e-10,3.3444e+06,0.0024453,1,nan,nan,9832.4,1,0.0005874,0,0.0039874,0
-3.198e-10,3.3376e+06,0.0025736,1,nan,nan,9809.9,1,0.000594,0,0.003994,0
-3.1918e-10,3.3311e+06,0.0026799,1,nan,nan,9788.2,1,0.0006006,0,0.0040006,0
-3.1856e-10,3.3246e+06,0.0027862,1,nan,nan,9766.6,1,0.0006072,0,0.0040072,0
-3.1793e-10,3.3181e+06,0.0028924,1,nan,nan,9744.9,1,0.0006138,0,0.0040138,0
-3.1731e-10,3.3116e+06,0.0029987,1,nan,nan,9723.2,1,0.0006204,0,0.0040204,0
-3.1668e-10,3.305e+06,0.003105,1,nan,nan,9701.6,1,0.000627,0,0.004027,0
-3.1606e-10,3.2985e+06,0.0032113,1,nan,nan,9679.9,1,0.0006336,0,0.0040336,0
-3.1543e-10,3.292e+06,0.0033175,1,nan,nan,9658.2,1,0.0006402,0,0.0040402,0
-3.1481e-10,3.2855e+06,0.0034238,1,nan,nan,9636.6,1,0.0006468,0,0.0040468,0
-3.1418e-10,3.279e+06,0.0035301,1,nan,nan,9614.9,1,0.0006534,0,0.0040534,0
-3.1356e-10,3.2725e+06,0.0036364,1,nan,nan,9593.2,1,0.00066,0,0.00406,0
-3.1293e-10,3.2659e+06,0.0037426,1,nan,nan,9571.6,1,0.0006666,0,0.0040666,0
-3.1231e-10,3.2594e+06,0.0038489,1,nan,nan,9549.9,1,0.0006732,0,0.0040732,0
-3.1169e-10,3.2529e+06,0.0039552,1,nan,nan,9528.3,1,0.0006798,0,0.0040798,0
-3.1106e-10,3.2464e+06,0.0040615,1,nan,nan,9506.6,1,0.0006864,0,0.0040864,0
-3.1044e-10,3.2399e+06,0.0041677,1,nan,nan,9484.9,1,0.000693,0,0.004093,0
-3.0981e-10,3.2333e+06,0.004274,1,nan,nan,9463.3,1,0.0006996,0,0.0040996,0
-3.0919e-10,3.2268e+06,0.0043803,1,nan,nan,9441.6,1,0.0007062,0,0.0041062,0
-3.0856e-10,3.2203e+06,0.0044866,1,nan,nan,9419.9,1,0.0007128,0,0.0041128,0
-3.0794e-10,3.2138e+06,0.0045928,1,nan,nan,9398.3,1,0.0007194,0,0.0041194,0
-3.0731e-10,3.2073e+06,0.0046991,1,nan,nan,9376.6,1,0.000726,0,0.004126,0
-3.0669e-10,3.2008e+06,0.0048054,1,nan,nan,9354.9,1,0.0007326,0,0.0041326,0
-3.0606e-10,3.1942e+06,0.0049117,1,nan,nan,9333.3,1,0.0007392,0,0.0041392,0
-3.0544e-10,3.1878e+06,0.0050043,1,nan,nan,9311.7,1,0.0007458,0,0.0041458,0
-3.0484e-10,3.1815e+06,0.0049998,1,nan,nan,9291.1,1,0.0007524,0,0.0041524,0
-3.0425e-10,3.1753e+06,0.0049952,1,nan,nan,9270.5,1,0.000759,0,0.004159,0
-3.0365e-10,3.169e+06,0.0049907,1,nan,nan,9249.9,1,0.0007656,0,0.0041656,0
-3.0305e-10,3.1628e+06,0.0049862,1,nan,nan,9229.3,1,0.0007722,0,0.0041722,0
-3.0245e-10,3.1565e+06,0.0049816,1,nan,nan,9208.7,1,0.0007788,0,0.0041788,0
-2.7441e-10,3.1503e+06,0.0049771,1,nan,nan,9188.1,1,0.0007854,0,0.0041854,0
-2.7387e-10,3.144e+06,0.0049726,1,nan,nan,9167.5,1,0.000792,0,0.004192,0
-2.7332e-10,3.1378e+06,0.004968,1,nan,nan,9146.9,1,0.0007986,0,0.0041986,0
-2.7278e-10,3.1315e+06,0.0049635,1,nan,nan,9126.3,1,0.0008052,0,0.0042052,0
-2.7223e-10,3.1253e+06,0.0049589,1,nan,nan,9105.7,1,0.0008118,0,0.0042118,0
-2.7169e-10,3.119e+06,0.0049544,1,nan,nan,9085.1,1,0.0008184,0,0.0042184,0
-2.7114e-10,3.1128e+06,0.0049499,1,nan,nan,9064.5,1,0.000825,0,0.004225,0
-2.706e-10,3.1065e+06,0.0049453,1,nan,nan,9043.9,1,0.0008316,0,0.0042316,0
-2.7006e-10,3.1003e+06,0.0049408,1,nan,nan,9023.3,1,0.0008382,0,0.0042382,0
